               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.024467,            0.033973,           0.0020466,             0.98041,             0.96612,             0.99328,             0.81747,            0.014578,            0.025424,           0.0010146,          0.00093201,          0.00093201,          0.00093201
                  70,            0.021738,            0.034658,           0.0022789,             0.94995,              0.9495,             0.99068,             0.81576,            0.014678,            0.028509,           0.0017062,          0.00093101,          0.00093101,          0.00093101
                  71,            0.023586,            0.036809,           0.0021888,             0.96736,              0.9851,             0.99334,             0.82933,            0.014192,            0.026045,           0.0010837,          0.00093001,          0.00093001,          0.00093001
                  72,            0.022819,            0.035775,           0.0022238,             0.95468,             0.99411,             0.99235,             0.83081,            0.014324,            0.025023,           0.0013325,          0.00092901,          0.00092901,          0.00092901
                  73,            0.023627,            0.034269,           0.0018656,             0.98216,             0.97406,             0.99264,             0.82356,             0.01472,            0.025455,          0.00077582,          0.00092801,          0.00092801,          0.00092801
                  74,            0.023969,            0.039112,           0.0017383,             0.97373,             0.97869,             0.99245,             0.80037,            0.017108,            0.030005,          0.00066759,          0.00092701,          0.00092701,          0.00092701
                  75,            0.024052,            0.034974,           0.0017694,             0.96339,               0.974,             0.99313,             0.81652,            0.015318,            0.026949,          0.00092186,          0.00092601,          0.00092601,          0.00092601
                  76,            0.024742,            0.036681,           0.0026413,             0.97351,             0.97711,             0.99322,             0.80859,            0.015525,            0.025105,           0.0010369,          0.00092501,          0.00092501,          0.00092501
                  77,             0.02204,            0.033286,              0.0016,             0.98016,             0.99343,             0.99357,             0.83808,            0.014351,            0.024651,          0.00063032,          0.00092401,          0.00092401,          0.00092401
                  78,            0.022874,            0.034471,           0.0019231,             0.98291,              0.9881,             0.99305,              0.8242,            0.014902,            0.025434,          0.00053891,          0.00092301,          0.00092301,          0.00092301
                  79,            0.022539,            0.035034,           0.0021667,             0.97417,             0.99522,             0.99362,             0.83283,            0.014761,            0.025792,          0.00055932,          0.00092201,          0.00092201,          0.00092201
                  80,            0.023253,            0.034932,           0.0017614,             0.97129,             0.99487,             0.99342,             0.81775,             0.01568,            0.026018,          0.00069006,          0.00092101,          0.00092101,          0.00092101
                  81,            0.025876,            0.033629,           0.0017335,             0.97703,             0.98413,             0.99245,             0.81858,            0.015917,            0.024057,           0.0008674,          0.00092001,          0.00092001,          0.00092001
                  82,            0.025643,            0.036864,           0.0015572,              0.9806,             0.97558,             0.99251,             0.82979,            0.016439,            0.023673,          0.00084595,          0.00091901,          0.00091901,          0.00091901
                  83,            0.024589,            0.038912,           0.0019078,             0.98628,             0.95883,              0.9908,             0.81576,            0.014792,            0.024428,           0.0008238,          0.00091801,          0.00091801,          0.00091801
                  84,            0.024087,             0.03508,           0.0016984,             0.97598,             0.98413,              0.9931,             0.84268,            0.015236,            0.023203,          0.00056094,          0.00091701,          0.00091701,          0.00091701
                  85,            0.023837,            0.035914,           0.0016335,             0.98097,             0.98588,             0.99358,             0.80695,             0.01568,            0.024071,          0.00050362,          0.00091601,          0.00091601,          0.00091601
                  86,             0.02418,            0.035758,           0.0018612,             0.98439,             0.98413,             0.99293,             0.83609,            0.014653,            0.023401,          0.00048945,          0.00091501,          0.00091501,          0.00091501
                  87,            0.023707,            0.035791,           0.0020368,             0.98331,             0.98378,             0.99353,             0.81973,            0.014754,            0.024699,          0.00062289,          0.00091401,          0.00091401,          0.00091401
                  88,            0.023108,             0.03628,           0.0016759,             0.98256,             0.96075,             0.99285,             0.83391,            0.014247,            0.022551,          0.00086071,          0.00091301,          0.00091301,          0.00091301
                  89,            0.022057,              0.0329,           0.0015471,             0.98471,              0.9695,             0.99251,             0.82603,            0.013396,             0.02242,          0.00072585,          0.00091201,          0.00091201,          0.00091201
                  90,            0.022451,            0.035303,           0.0012283,             0.97765,             0.98399,             0.99345,             0.80814,            0.015196,            0.024703,          0.00056631,          0.00091101,          0.00091101,          0.00091101
                  91,            0.021517,            0.032374,           0.0015838,             0.98802,             0.97675,              0.9938,             0.81342,             0.01431,            0.025033,           0.0005261,          0.00091001,          0.00091001,          0.00091001
                  92,            0.022957,            0.033928,           0.0019128,             0.98532,             0.98121,             0.99407,             0.83796,            0.014474,            0.022537,          0.00052003,          0.00090901,          0.00090901,          0.00090901
                  93,             0.02312,            0.032986,            0.001717,             0.98951,             0.97091,             0.99355,             0.82152,            0.014929,            0.023681,          0.00069813,          0.00090801,          0.00090801,          0.00090801
                  94,            0.021038,            0.030174,           0.0013937,             0.99068,             0.98106,              0.9945,             0.83316,            0.013861,            0.022356,          0.00052492,          0.00090701,          0.00090701,          0.00090701
                  95,            0.023045,             0.03275,           0.0017447,             0.99098,               0.979,             0.99458,             0.81435,            0.014091,              0.0234,          0.00045105,          0.00090601,          0.00090601,          0.00090601
                  96,            0.022898,            0.032975,           0.0018598,              0.9822,             0.96437,             0.99344,             0.83521,            0.014287,            0.022448,          0.00095272,          0.00090501,          0.00090501,          0.00090501
                  97,            0.020887,            0.034296,           0.0016833,             0.98017,             0.98437,             0.99348,             0.83714,            0.013686,            0.022716,          0.00056915,          0.00090401,          0.00090401,          0.00090401
                  98,            0.021144,            0.032738,           0.0014098,             0.98364,             0.99064,             0.99406,              0.8306,            0.013581,              0.0248,          0.00039795,          0.00090301,          0.00090301,          0.00090301
                  99,            0.021407,            0.031548,            0.001943,             0.97536,             0.99206,             0.99264,             0.82395,            0.013371,            0.021962,          0.00058328,          0.00090201,          0.00090201,          0.00090201
                 100,            0.022163,            0.030106,           0.0015762,             0.98017,             0.98315,             0.99226,             0.81966,            0.014138,            0.022651,          0.00066391,          0.00090101,          0.00090101,          0.00090101
